Brand,Model,Year,Price,KM_Driven,Fuel,Seller_Type,Transmission,Owner
Maruti,Maruti,2012,100000,,Petrol,,Manual,Second Owner
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,,,,Diesel,Individual,Automatic,First Owner
Honda,Honda City VX MT,2016,350000,48781,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,2017,500000,26500,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Bolero B6,2018,600000,56000,,,,First Owner
Ford,Ford,2011,600000,,Diesel,,Manual,Second Owner
Volkswagen,Volkswagen Jetta 1.9 Highline TDI,2016,290000,87620,Diesel,Dealer,Automatic,First Owner
Maruti,Maruti Ertiga VXI,2016,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner
Ford,Ford,2013,700000,,Petrol,,Manual,
Ford,Ford Endeavour XLT TDCi 4X2,2017,280000,190000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti,2013,300000,,Diesel,,Manual,
Mercedes-Benz,Mercedes-Benz C-Class Progressive C 220d,2017,3800000,10000,Diesel,Dealer,Automatic,First Owner
Renault,Renault,2015,325000,18500,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto K10 VXI,2009,380000,22155,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2015,699000,39503,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Alto LXi,2009,175000,80000,Petrol,Individual,Manual,Third Owner
Renault,Renault Pulse RxZ,,,,Diesel,Dealer,Manual,First Owner
Tata,Tata Tigor 1.2 Revotron XM,2016,509999,5000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto 800 LXI,2018,200000,90000,Petrol,Individual,Manual,Third Owner
Honda,Honda City 1.5 EXI,2009,100000,120000,Petrol,Individual,Manual,Second Owner
Chevrolet,Chevrolet,2014,239000,,,,Manual,First Owner
Hyundai,Hyundai i20 1.4 Magna Executive,,,,,,,First Owner
Tata,Tata,2015,320000,100000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai i20 Active S Diesel,2018,650000,37000,,Dealer,,First Owner
Mahindra,Mahindra,2011,1100000,,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Ciaz VXi Plus,2004,585000,24000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Omni MPI STD BSIV,2012,250000,,Petrol,,Manual,
Maruti,Maruti Swift VXI BSIII,2019,250000,806599,Petrol,Dealer,Manual,First Owner
Mahindra,Mahindra Bolero Power Plus SLX,2009,800000,15000,Diesel,Individual,Manual,First Owner
Maruti,Maruti,2012,,,Diesel,,Manual,
Maruti,Maruti Wagon R LXI Minor,2011,100000,80000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Wagon R VXI AMT1.2BSIV,2017,525000,9745,Petrol,Dealer,Automatic,First Owner
Mahindra,Mahindra XUV500 W6 2WD,2012,500000,,Diesel,,Manual,
Hyundai,Hyundai,2014,520000,,,,Automatic,First Owner
Hyundai,Hyundai EON 1.0 Era Plus,2016,100000,21302,Petrol,Individual,Manual,First Owner
Toyota,Toyota,2015,249000,41125,Petrol,Dealer,Manual,First Owner
Mahindra,Mahindra,2015,300000,25000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz BSIV,,,,Petrol,Individual,Manual,First Owner
Honda,Honda,2014,311000,70000,Petrol,Individual,Automatic,Second Owner
Renault,Renault,2012,400000,,Diesel,,Manual,
Hyundai,Hyundai,2012,130000,,CNG,,Manual,Second Owner
Toyota,Toyota,2014,400000,138000,Diesel,Individual,Manual,Third Owner
Honda,Honda Amaze VX Diesel BSIV,2017,790000,49000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai Xcent 1.1 CRDi Base,2018,375000,72000,Diesel,Individual,Manual,First Owner
Ford,Ford Endeavour 3.2 Titanium AT 4X4,,,,,Individual,,First Owner
Hyundai,Hyundai Santro Xing XL eRLX Euro III,2017,114999,90000,Petrol,Dealer,Manual,Second Owner
Mahindra,Mahindra Jeep MM 540,2017,95000,100000,Diesel,Individual,Manual,Second Owner
Honda,Honda,2015,875000,1440,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Santro Xing GLS,2016,110000,120000,Petrol,Individual,Manual,First Owner
Datsun,Datsun,,,,,,Manual,First Owner
Chevrolet,Chevrolet Spark 1.0 LS,2009,99000,100000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti,2013,750000,,,,Manual,First Owner
Maruti,Maruti SX4 Celebration Diesel,2018,250000,120000,Diesel,Individual,Manual,First Owner
Skoda,Skoda Rapid 1.5 TDI AT Ambition,2017,599000,46957,Diesel,Dealer,Automatic,First Owner
Maruti,Maruti Ciaz 1.4 Delta,2017,650000,70000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Ertiga SHVS ZDI,2010,450000,115962,Diesel,Dealer,Manual,Second Owner
Ford,Ford Figo Diesel Titanium,2012,220000,,Diesel,Individual,Manual,
Datsun,Datsun,2012,270000,,Petrol,Dealer,Manual,
Ford,Ford,2013,425000,,Diesel,Dealer,Manual,
Hyundai,Hyundai Getz GLS,2006,80000,120000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti,2015,390000,60000,Diesel,Individual,Manual,Second Owner
Datsun,Datsun GO Plus A,2012,,,Petrol,,Manual,
Tata,Tata Indigo CR4,2016,130000,90000,Diesel,Individual,Manual,First Owner
Toyota,Toyota Corolla Altis Diesel D4DG,2006,350000,230000,Diesel,Individual,Manual,First Owner
BMW,Diesel,2013,,30000,Diesel,Dealer,Automatic,First Owner
Maruti,Maruti,2012,175000,,Petrol,,Manual,
Maruti,Maruti,2014,140000,90000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti Vitara Brezza VDi,2008,800000,35000,Diesel,Individual,Manual,First Owner
Maruti,Maruti,2012,90000,,Petrol,,Manual,
Ford,Ford Endeavour 2.5L 4X2 MT,2012,,,Diesel,,Manual,
Mahindra,Mahindra Bolero Power Plus Plus AC BSIV PS,2017,320000,50000,Diesel,Individual,Manual,Third Owner
Maruti,Maruti Alto K10 VXI,2017,320000,30000,Petrol,Individual,Manual,First Owner
Ford,Ford,2013,750000,,Diesel,,Manual,
Maruti,Maruti Ertiga VDI,2007,500000,120000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti,2013,450000,39415,Petrol,Trustmark Dealer,Automatic,Second Owner
Hyundai,Hyundai EON Magna Plus,2018,245000,32000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Venue SX Opt Diesel,2004,1195000,5000,Diesel,Dealer,Manual,First Owner
BMW,BMW,2011,1375000,,Diesel,,Automatic,First Owner
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,2004,1425000,59000,Diesel,Individual,Automatic,First Owner
Fiat,Fiat,2015,185000,100000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti,2014,225000,,,,Manual,Second Owner
Mahindra,Mahindra XUV500 W11 Option AWD,2011,1400000,25000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Swift Dzire LDI,2016,390000,110000,Diesel,Individual,Manual,Second Owner
Tata,Tata Safari Storme VX,2012,,,Diesel,,Manual,
Mahindra,Mahindra XUV500 W8 2WD,2016,500000,100000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Swift Dzire 1.2 Vxi BSIV,2018,395000,52000,,,,Second Owner
Renault,Renault,2013,,1000,Diesel,Dealer,Manual,Second Owner
Hyundai,Hyundai Santro Xing XS,,,,Petrol,Individual,Manual,Second Owner
Skoda,Skoda Rapid 1.5 TDI Ambition BSIV,2009,940000,2650,Diesel,Dealer,Manual,First Owner
Toyota,Toyota Etios Liva G,2011,229999,50000,Petrol,Individual,Manual,Second Owner
BMW,BMW,2014,4950000,,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Xylo D4 BSIV,,,,Diesel,Individual,Manual,Second Owner
Tata,Tata New Safari DICOR 2.2 EX 4x4,2015,250000,120000,Diesel,Individual,Manual,Second Owner
Skoda,Skoda,2013,,52000,Diesel,Dealer,Manual,First Owner
Mahindra,Mahindra Quanto C8,2008,195000,140000,Diesel,Individual,Manual,Second Owner
Mahindra,Mahindra Scorpio REV 116,2012,,,Petrol,,Manual,
Chevrolet,Chevrolet Beat Diesel LT,2019,250000,110000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Creta 1.4 EX Diesel,2017,1050000,10000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Swift Dzire VXi,2018,200000,110000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti,Maruti Ciaz VDi Plus,2008,525000,100000,Diesel,Individual,Manual,First Owner
Tata,Tata,2014,58000,27974,Petrol,Individual,Manual,First Owner
Mercedes-Benz,Mercedes-Benz,2014,3800000,,,,Automatic,First Owner
Maruti,Maruti Alto 800 VXI,2017,245000,60000,Petrol,Individual,Manual,First Owner
Renault,Renault Duster 85PS Diesel RxL,2016,450000,1000,Diesel,Dealer,Manual,Second Owner
Mahindra,Mahindra XUV500 W6 2WD,2010,1000000,40000,Diesel,Individual,Manual,First Owner
Maruti,Maruti,2013,670000,7104,Petrol,,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2 CRDi Asta,2010,465000,25000,Diesel,Individual,Manual,First Owner
Renault,Renault,2011,350000,,Diesel,,Manual,Second Owner
Maruti,Maruti,2015,550000,69782,Petrol,Dealer,Manual,First Owner
Honda,Honda City i-DTEC V,2012,,,Diesel,,Manual,
Honda,Honda,2013,775000,66521,Petrol,Trustmark Dealer,Manual,First Owner
Maruti,Maruti,,,,,,Manual,First Owner
Mahindra,Mahindra,2015,890000,52000,Diesel,Dealer,Manual,First Owner
Maruti,,2014,150000,53000,Petrol,Individual,Manual,First Owner
Tata,Tata Indica Vista Terra 1.4 TDI,2012,150000,,Diesel,,Manual,
Ford,Ford Fiesta Titanium 1.5 TDCi,2016,325000,100000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Alto LXi BSIII,2010,125000,80000,Petrol,Individual,Manual,First Owner
Maruti,Maruti S-Cross Zeta DDiS 200 SH,2016,750000,45974,Diesel,Individual,Manual,First Owner
Maruti,Maruti Wagon R LXI Minor,1996,135000,50000,Petrol,Individual,Manual,First Owner
Maruti,,2011,300000,,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Ertiga ZDI,2017,716000,100000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Gypsy King Hard Top,2018,165000,60000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti,Maruti,2013,625000,,,,Manual,First Owner
Ford,Ford Figo Aspire 1.2 Ti-VCT Trend,2011,530000,,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Verna 1.6 VTVT SX,2016,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai,Hyundai Verna 1.6 VTVT SX,2016,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner
Ford,Ford,,,,,,,First Owner
Hyundai,Hyundai i10 Sportz 1.2,2012,,,Petrol,,Manual,
Maruti,Maruti,2011,720000,,Diesel,,Manual,First Owner
Hyundai,Hyundai EON Magna Plus,,,,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Grand i10 CRDi Sportz,2007,450000,80000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i10 Magna 1.1,2016,150000,90000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti SX4 Zxi with Leather BSIII,2010,225000,60000,Petrol,Individual,Manual,Second Owner
Hyundai,,2015,900000,80000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai,2014,600000,30000,Diesel,Individual,Manual,First Owner
Maruti,Maruti 800 Std BSII,2009,80000,60000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti,2013,,,,,Manual,Second Owner
Maruti,Maruti Alto LX BSIII,2018,110000,90000,Petrol,Individual,Manual,Second Owner
Tata,Tata Indica DLS,,,,,,,First Owner
Hyundai,Hyundai Santro Magna BSIV,2012,500000,,Petrol,Individual,Manual,
Chevrolet,,2015,120000,100000,Petrol,Individual,Manual,Third Owner
Ford,Ford,,,,,,,First Owner
Tata,Tata,2014,800000,60000,Diesel,Individual,Manual,First Owner
Mahindra,,2015,790000,40890,Diesel,Individual,Manual,First Owner
Tata,Tata Indica Vista Aqua 1.4 TDI,2008,125000,81000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti,2014,195000,5000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio S11 BSIV,2017,1300000,35000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai,,,,,,Manual,First Owner
Fiat,Fiat,2013,650000,,Diesel,,Manual,
Hyundai,Hyundai i20 Sportz Option 1.2,2017,475000,25000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra XUV300 W8 Option Diesel BSIV,2017,1000000,10000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Alto 800 LXI,2011,110000,50000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Santro Xing XG,2017,95000,120000,Petrol,Individual,Manual,Second Owner
Tata,Tata,2015,525000,10980,Petrol,Dealer,Automatic,First Owner
Ford,Ford Fiesta 1.5 TDCi Titanium,2017,195000,133564,Diesel,Dealer,Manual,First Owner
Tata,Tata Indica GLS BS IV,,,,,,,First Owner
Hyundai,Hyundai Santro LE,2008,65000,70000,Petrol,Individual,Manual,First Owner
Renault,Renault,2015,350000,7658,Petrol,Dealer,Automatic,First Owner
Hyundai,Hyundai i20 1.4 CRDi Era,2019,220000,70000,Diesel,Individual,Manual,First Owner
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,2009,300000,175000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Ertiga SHVS VDI,2012,550000,,Diesel,,Manual,
Maruti,Maruti Wagon R VXI BSIII,2018,155000,80000,Petrol,Individual,Manual,Second Owner
Mahindra,Mahindra,2011,229999,,Diesel,,Manual,Third Owner
Hyundai,Hyundai,2015,225000,48000,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai i10 Magna,,,,,,,First Owner
Maruti,Maruti Swift Dzire ZXI Plus,2009,810000,15000,Petrol,Individual,Manual,First Owner
Maruti,Maruti,,,,,,,Second Owner
Tata,Tata,2011,425000,,Petrol,,Manual,First Owner
Hyundai,Hyundai i10 Sportz 1.2,2006,248000,63000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai,2014,700000,1400,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Grand i10 Magna,2018,325000,25000,Diesel,Individual,Manual,Third Owner
Chevrolet,Chevrolet Aveo 1.4 LS,2019,170000,81324,Petrol,Dealer,Manual,First Owner
Maruti,Maruti,,,,,,Manual,First Owner
Maruti,Maruti,2015,665000,59110,Diesel,Dealer,Manual,First Owner
Maruti,Maruti,2012,60000,,Petrol,,Manual,
Hyundai,,2015,125000,205000,Petrol,Individual,Manual,First Owner
Chevrolet,Chevrolet Spark 1.0 LT,2019,165000,60000,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2013,280000,,Diesel,,Manual,Third Owner
Maruti,Maruti,2015,525000,56228,CNG,Dealer,Manual,First Owner
Hyundai,Hyundai Grand i10 Magna,,,,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai Xcent 1.1 CRDi Base,2018,375000,72000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai,2015,425000,59319,Petrol,Dealer,Manual,First Owner
Honda,Honda Civic 1.8 V AT,2006,200000,54000,Petrol,Individual,Automatic,Second Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,2006,500000,15000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Ignis 1.2 Alpha BSIV,2016,500000,9161,Petrol,Individual,Manual,First Owner
Ford,Ford,2012,175000,,Diesel,,Manual,
Hyundai,Petrol,2013,,19890,Petrol,Dealer,Automatic,First Owner
Volkswagen,Volkswagen Ameo 1.5 TDI Highline,2010,640000,56000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai,2014,80000,56580,Petrol,Dealer,Manual,First Owner
Skoda,Skoda,2013,385000,,,,Manual,First Owner
Honda,Honda Amaze S i-Dtech,2019,310000,95851,Diesel,Dealer,Manual,First Owner
Maruti,Maruti,2012,,,Petrol,,Manual,
Mahindra,Mahindra Bolero SLX 2WD,2017,250000,190000,Diesel,Individual,Manual,Fourth & Above Owner
Renault,Renault,2012,490000,,Diesel,,Manual,
Tata,Tata,2015,120000,20000,Petrol,Individual,Manual,First Owner
Chevrolet,Chevrolet Cruze LTZ,2008,1000000,3600,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai Grand i10 Magna AT,,,,,,,First Owner
Jaguar,Jaguar XJ 5.0 L V8 Supercharged,2009,2550000,40000,Petrol,Individual,Automatic,Second Owner
BMW,BMW 7 Series 730Ld,2007,2500000,48000,Diesel,Dealer,Automatic,First Owner
Toyota,Toyota Fortuner 4x2 AT,2016,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti,Maruti Baleno Alpha CVT,,,,,,,First Owner
Tata,Tata Nano Lx BSIV,2017,75000,58850,Petrol,Dealer,Manual,First Owner
Ford,Ford Figo Diesel Titanium,2009,170000,90000,Diesel,Individual,Manual,Third Owner
Hyundai,Hyundai,2012,120000,,Petrol,,Manual,
Maruti,Maruti Ertiga ZDI,,,,,,,Second Owner
Volkswagen,Volkswagen Jetta 2.0 TDI Trendline,2012,270000,,Diesel,,Manual,
Hyundai,Hyundai,2015,770000,10000,Petrol,Individual,Automatic,First Owner
Hyundai,,2014,475000,42000,Petrol,Individual,Manual,First Owner
BMW,BMW,2013,,30000,Diesel,Dealer,Automatic,First Owner
Skoda,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2009,640000,23000,Petrol,Individual,Manual,First Owner
Honda,Honda Jazz 1.5 VX i DTEC,2017,790000,19571,Diesel,Dealer,Manual,First Owner
Volkswagen,Volkswagen,2015,269000,76259,Petrol,Dealer,Automatic,First Owner
Fiat,Fiat Avventura MULTIJET Emotion,2007,350000,53000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai i10 Magna,2018,240000,40000,,,,First Owner
Maruti,Maruti Zen Estilo 1.1 VXI BSIII,2018,120000,70000,Petrol,Individual,Manual,Second Owner
Mahindra,Mahindra Renault Logan 1.4 GLX Petrol,2017,80000,90000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto LX,2010,52000,120000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner
Maruti,,2015,300000,100000,Petrol,Individual,Manual,Second Owner
Audi,Audi,2013,1300000,,,,Automatic,First Owner
Hyundai,Hyundai Creta 1.6 CRDi SX,2016,535000,52600,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Accent GLE CNG,2016,160000,70000,CNG,Individual,Manual,Third Owner
Hyundai,Hyundai i20 Active SX Petrol,2018,550000,23000,,,,First Owner
Maruti,Maruti Alto K10 VXI,2017,380000,22155,Petrol,Individual,Manual,First Owner
Skoda,Skoda Octavia Elegance 2.0 TDI AT,2017,1200000,135000,Diesel,Individual,Automatic,Third Owner
Maruti,Maruti Swift VVT ZXI,2009,550000,60000,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2011,800000,,Diesel,,Manual,First Owner
Volkswagen,Volkswagen,2012,300000,,Diesel,,Manual,
Maruti,Maruti,2012,275000,,Petrol,,Manual,
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2017,550000,25000,Petrol,Individual,Manual,First Owner
BMW,BMW 5 Series 520d Luxury Line,2009,2900000,40000,Diesel,Individual,Automatic,First Owner
Chevrolet,Chevrolet Beat PS,2019,300000,25000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai,2014,250000,120000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Creta 1.4 EX Diesel,2014,535000,,,,Manual,First Owner
Maruti,,2012,940000,,Diesel,Individual,Manual,
Hyundai,Hyundai Verna CRDi,2018,150000,70950,Diesel,Individual,Manual,Second Owner
Tata,Tata Bolt Quadrajet XE,2008,250000,120000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Bolero Power Plus LX,2018,500000,60000,Diesel,Individual,Manual,First Owner
Toyota,Toyota,2015,275000,51687,Petrol,Dealer,Manual,First Owner
Maruti,Maruti,2013,,7104,Petrol,Trustmark Dealer,Manual,First Owner
Maruti,Maruti,2015,415000,32670,Petrol,Dealer,Automatic,First Owner
Maruti,Maruti Alto K10 VXI,2017,350000,5000,Petrol,Individual,Manual,First Owner
Volkswagen,Volkswagen,2011,400000,,Petrol,,Manual,First Owner
Mahindra,Mahindra,2013,900000,,Diesel,,Manual,
Tata,Tata Indica Vista Terra Quadrajet 1.3L,2019,140000,90000,Diesel,Individual,Manual,Third Owner
Hyundai,,2014,325000,100000,Diesel,Individual,Manual,First Owner
Audi,Audi A4 3.0 TDI Quattro,2017,1580000,86000,Diesel,Dealer,Automatic,First Owner
Audi,Audi Q5 2.0 TDI,2012,1350000,,Diesel,,Automatic,
Hyundai,Hyundai Elantra CRDi (Leather Option),2019,125000,120000,Diesel,Individual,Manual,Third Owner
Hyundai,Hyundai,2014,350000,50000,Petrol,Individual,Manual,Second Owner
Honda,Honda,2011,495000,,Diesel,,Manual,First Owner
Maruti,Maruti Eeco 5 Seater AC BSIV,2006,401000,10200,Petrol,Dealer,Manual,First Owner
Maruti,Maruti,2014,138000,120000,Petrol,Individual,Manual,Fourth & Above Owner
Volkswagen,Volkswagen,2015,399000,44049,Diesel,Dealer,Manual,First Owner
Mahindra,Mahindra,,,,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Santro GS,2016,80000,56580,Petrol,Dealer,Manual,First Owner
Ford,Ford Figo Diesel Titanium,2009,190000,90000,Diesel,Individual,Manual,Third Owner
Tata,Tata Indica Vista TDI LS,2010,120000,120000,Diesel,Individual,Manual,Second Owner
Tata,Tata,2011,185000,,CNG,,Manual,First Owner
Maruti,Maruti,2014,540000,17500,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai,2013,760000,,,,Manual,First Owner
Tata,Tata Zest Quadrajet 1.3 75PS XE,2010,300000,140000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Bolero Power Plus SLX,2018,550000,44000,Diesel,Individual,Manual,First Owner
Renault,Renault,2013,390000,61585,Diesel,,Manual,First Owner
Hyundai,Hyundai EON Magna Plus,2008,170000,60000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto LX,2018,110000,60000,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2015,370000,82000,Petrol,Individual,Automatic,First Owner
Ford,Ford Figo Diesel Celebration Edition,2019,260000,65000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai,2015,525000,70378,Petrol,Dealer,Manual,First Owner
Mercedes-Benz,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2010,2000000,15000,Diesel,Individual,Automatic,First Owner
Maruti,Maruti Alto LXi,2016,140000,80000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai,,,,,,Manual,First Owner
Mahindra,Mahindra Renault Logan 1.5 DLS,2010,89999,213000,Diesel,Individual,Manual,First Owner
Mercedes-Benz,Diesel,2013,,10000,Diesel,Dealer,Automatic,First Owner
Mahindra,Mahindra Xylo E4 BS III,2007,600000,60000,Diesel,Individual,Manual,First Owner
Tata,Tata Indica V2 2001-2011 DLS BSIII,2010,90000,120000,Diesel,Dealer,Manual,First Owner
Ford,Ford EcoSport 1.5 TDCi Titanium BSIV,2017,950000,21394,Diesel,Dealer,Manual,First Owner
Skoda,Skoda Superb Ambition 2.0 TDI CR AT,2005,450000,130400,Diesel,Dealer,Automatic,Second Owner
Tata,Tata Indica DLS,2006,70000,80000,Diesel,Individual,Manual,First Owner
Tata,Tata Sumo Gold EX,,,,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2011,490000,,Diesel,,Manual,Second Owner
Maruti,Maruti Alto LX,2019,151000,40000,Petrol,Individual,Manual,First Owner
Hyundai,,2011,500000,,Petrol,Individual,Manual,First Owner
Maruti,Maruti Swift VXI Deca,2018,455000,40000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Xcent 1.1 CRDi Base,2018,375000,72000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Santro Xing GLS,2016,140000,120000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Wagon R LXI CNG,2018,250000,71000,CNG,Individual,Manual,Second Owner
Maruti,Maruti,2012,145000,,Petrol,,Manual,First Owner
Toyota,Toyota Camry 2.5 Hybrid,2017,1900000,20000,Petrol,Individual,Automatic,First Owner
Maruti,Maruti,2011,80000,,Petrol,,Manual,Third Owner
Skoda,Skoda,2015,269000,52547,Petrol,Dealer,Manual,First Owner
Audi,Audi Q7 35 TDI Quattro Premium,2005,1250000,78000,Diesel,Dealer,Automatic,Third Owner
Maruti,Maruti,2013,665000,560000,Diesel,,Manual,First Owner
Hyundai,Hyundai Elite i20 Asta Option BSIV,2010,800000,11240,Petrol,Individual,Manual,First Owner
Maruti,Maruti SX4 ZXI MT BSIV,2007,250000,110000,Petrol,Individual,Manual,Third Owner
Chevrolet,Chevrolet Spark 1.0 LS,2008,130000,80000,Petrol,Individual,Manual,First Owner
Hyundai,Petrol,2013,,10510,Petrol,Dealer,Automatic,First Owner
Hyundai,Hyundai Santro LP zipPlus,2008,75000,57000,Petrol,Individual,Manual,First Owner
Ford,Ford,,,,,,,Second Owner
Ford,Ford,2013,600000,,Diesel,,Manual,
Maruti,Maruti Swift Vdi BSIII,,,,Diesel,Individual,Manual,Second Owner
Honda,Honda Brio 1.2 VX MT,2012,,,Petrol,,Manual,
Maruti,,2011,800000,,Diesel,Individual,Manual,First Owner
Renault,Renault Lodgy 85PS RxL,2017,715000,35000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i20 Active 1.2 S,2018,600000,10000,Petrol,Individual,Manual,First Owner
Tata,Tata Nano Lx,2018,60000,40000,Petrol,Individual,Manual,First Owner
Chevrolet,Chevrolet Beat Diesel LT,2010,130000,80000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai i20 Magna 1.2,2013,760000,55340,Petrol,,Manual,First Owner
Hyundai,Hyundai Creta 1.6 CRDi SX,2016,535000,52600,Diesel,Individual,Manual,First Owner
Tata,Tata,2015,120000,20000,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2015,750000,55545,Diesel,Dealer,Manual,First Owner
Tata,Tata Indica Vista Quadrajet LS,2006,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti,Maruti,2014,299000,50000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai EON Era Plus,2017,260000,37605,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Ciaz ZXi Plus,2017,675000,66000,Petrol,Individual,Manual,First Owner
Nissan,Nissan Terrano XV Premium 110 PS,2016,750000,80000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Alto 800 LXI,2019,280000,15000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Alto LXi,,,,Petrol,Individual,Manual,Third Owner
Chevrolet,Chevrolet Beat Diesel,2007,165000,60000,Diesel,Individual,Manual,Second Owner
Ford,Ford Endeavour 2.5L 4X2 MT,2012,,,Diesel,,Manual,
Hyundai,Hyundai EON Era Plus,2010,235000,54000,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai,2014,229999,49824,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Alto LX,2012,,,Petrol,Individual,Manual,
Maruti,Maruti Alto 800 LXI,2016,160000,50000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Grand i10 Asta,2017,550000,9748,Petrol,Dealer,Manual,First Owner
Mahindra,Mahindra Scorpio LX,2017,385000,110000,Diesel,Individual,Manual,Third Owner
